"Module","TypeName","PageIndex","HasReference","State","StateResult","CaptureResult","CompareResult","DiffRatio","Screenshot","Baseline","Detail"
"Dashboard","HVAC_Pro_Desktop.UI.DashboardForm","0","False","empty","PASS_MUTATED_CONTROLS_1","PASS","NO_BASELINE","","C:\HVAC_PRO_MSE\Docs\UI_QA_Baselines\current\Dashboard\empty.png","C:\HVAC_PRO_MSE\Docs\UI_QA_Baselines\baseline\Dashboard\empty.png","Baseline not found"
"Dashboard","HVAC_Pro_Desktop.UI.DashboardForm","0","False","populated","PASS_MUTATED_CONTROLS_4","PASS","NO_BASELINE","","C:\HVAC_PRO_MSE\Docs\UI_QA_Baselines\current\Dashboard\populated.png","C:\HVAC_PRO_MSE\Docs\UI_QA_Baselines\baseline\Dashboard\populated.png","Baseline not found"
"Dashboard","HVAC_Pro_Desktop.UI.DashboardForm","0","False","long-text","PASS_MUTATED_CONTROLS_1","PASS","NO_BASELINE","","C:\HVAC_PRO_MSE\Docs\UI_QA_Baselines\current\Dashboard\long-text.png","C:\HVAC_PRO_MSE\Docs\UI_QA_Baselines\baseline\Dashboard\long-text.png","Baseline not found"
"Dashboard","HVAC_Pro_Desktop.UI.DashboardForm","0","False","modal","UNSUPPORTED","PASS","UNSUPPORTED","","C:\HVAC_PRO_MSE\Docs\UI_QA_Baselines\current\Dashboard\modal.png","C:\HVAC_PRO_MSE\Docs\UI_QA_Baselines\baseline\Dashboard\modal.png","Native module dialog automation is not implemented for this state."
"Dashboard","HVAC_Pro_Desktop.UI.DashboardForm","0","False","scrolled","PASS_SCROLLED","PASS","NO_BASELINE","","C:\HVAC_PRO_MSE\Docs\UI_QA_Baselines\current\Dashboard\scrolled.png","C:\HVAC_PRO_MSE\Docs\UI_QA_Baselines\baseline\Dashboard\scrolled.png","Baseline not found"
"Clients","HVAC_Pro_Desktop.UI.ClientManagementForm","1","True","empty","PASS_MUTATED_CONTROLS_1","PASS","NO_BASELINE","","C:\HVAC_PRO_MSE\Docs\UI_QA_Baselines\current\Clients\empty.png","C:\HVAC_PRO_MSE\Docs\UI_QA_Baselines\baseline\Clients\empty.png","Baseline not found"
"Clients","HVAC_Pro_Desktop.UI.ClientManagementForm","1","True","populated","PASS_MUTATED_CONTROLS_2","PASS","NO_BASELINE","","C:\HVAC_PRO_MSE\Docs\UI_QA_Baselines\current\Clients\populated.png","C:\HVAC_PRO_MSE\Docs\UI_QA_Baselines\baseline\Clients\populated.png","Baseline not found"
"Clients","HVAC_Pro_Desktop.UI.ClientManagementForm","1","True","long-text","PASS_MUTATED_CONTROLS_1","PASS","NO_BASELINE","","C:\HVAC_PRO_MSE\Docs\UI_QA_Baselines\current\Clients\long-text.png","C:\HVAC_PRO_MSE\Docs\UI_QA_Baselines\baseline\Clients\long-text.png","Baseline not found"
"Clients","HVAC_Pro_Desktop.UI.ClientManagementForm","1","True","modal","UNSUPPORTED","PASS","UNSUPPORTED","","C:\HVAC_PRO_MSE\Docs\UI_QA_Baselines\current\Clients\modal.png","C:\HVAC_PRO_MSE\Docs\UI_QA_Baselines\baseline\Clients\modal.png","Native module dialog automation is not implemented for this state."
"Clients","HVAC_Pro_Desktop.UI.ClientManagementForm","1","True","scrolled","PASS_SCROLLED","PASS","NO_BASELINE","","C:\HVAC_PRO_MSE\Docs\UI_QA_Baselines\current\Clients\scrolled.png","C:\HVAC_PRO_MSE\Docs\UI_QA_Baselines\baseline\Clients\scrolled.png","Baseline not found"
