"Page","Index","Path","Width","Height"
"Clients","1","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\action-hierarchy-pass\ServoERP-Clients-showcase.png","1734","1100"
"Contracts","2","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\action-hierarchy-pass\ServoERP-Contracts-showcase.png","1734","1100"
"Invoices","3","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\action-hierarchy-pass\ServoERP-Invoices-showcase.png","1734","1100"
"Payments","4","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\action-hierarchy-pass\ServoERP-Payments-showcase.png","1734","1100"
"Reports","7","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\action-hierarchy-pass\ServoERP-Reports-showcase.png","1734","1100"
"Settings","8","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\action-hierarchy-pass\ServoERP-Settings-showcase.png","1734","1100"
"Vendors","9","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\action-hierarchy-pass\ServoERP-Vendors-showcase.png","1734","1100"
"Purchases","10","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\action-hierarchy-pass\ServoERP-Purchases-showcase.png","1734","1100"
"Inventory","11","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\action-hierarchy-pass\ServoERP-Inventory-showcase.png","1734","1100"
"Payroll","13","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\action-hierarchy-pass\ServoERP-Payroll-showcase.png","1734","1100"
"Jobs","15","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\action-hierarchy-pass\ServoERP-Jobs-showcase.png","1734","1100"
"ServiceDesk","16","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\action-hierarchy-pass\ServoERP-ServiceDesk-showcase.png","1734","1100"
