"Page","Index","Path","Width","Height"
"Clients","1","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\main_shell\ServoERP-Clients-showcase.png","1734","1399"
"Contracts","2","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\main_shell\ServoERP-Contracts-showcase.png","1734","1399"
"Invoices","3","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\main_shell\ServoERP-Invoices-showcase.png","1734","1399"
"Payments","4","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\main_shell\ServoERP-Payments-showcase.png","1734","1399"
"Reports","7","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\main_shell\ServoERP-Reports-showcase.png","1734","1399"
"Settings","8","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\main_shell\ServoERP-Settings-showcase.png","1734","1399"
"Vendors","9","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\main_shell\ServoERP-Vendors-showcase.png","1734","1399"
"Purchases","10","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\main_shell\ServoERP-Purchases-showcase.png","1734","1399"
"Inventory","11","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\main_shell\ServoERP-Inventory-showcase.png","1734","1399"
"Payroll","13","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\main_shell\ServoERP-Payroll-showcase.png","1734","1399"
"Jobs","15","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\main_shell\ServoERP-Jobs-showcase.png","1734","1399"
"ServiceDesk","16","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\main_shell\ServoERP-ServiceDesk-showcase.png","1734","1399"
