"Page","Index","Path","Width","Height"
"Clients","1","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\marketing-showcase\ServoERP-Clients-showcase.png","1920","1080"
"Contracts","2","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\marketing-showcase\ServoERP-Contracts-showcase.png","1920","1080"
"Invoices","3","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\marketing-showcase\ServoERP-Invoices-showcase.png","1920","1080"
"Payments","4","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\marketing-showcase\ServoERP-Payments-showcase.png","1920","1080"
"Reports","7","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\marketing-showcase\ServoERP-Reports-showcase.png","1920","1080"
"Settings","8","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\marketing-showcase\ServoERP-Settings-showcase.png","1920","1080"
"Vendors","9","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\marketing-showcase\ServoERP-Vendors-showcase.png","1920","1080"
"Purchases","10","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\marketing-showcase\ServoERP-Purchases-showcase.png","1920","1080"
"Inventory","11","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\marketing-showcase\ServoERP-Inventory-showcase.png","1920","1080"
"Payroll","13","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\marketing-showcase\ServoERP-Payroll-showcase.png","1920","1080"
"Jobs","15","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\marketing-showcase\ServoERP-Jobs-showcase.png","1920","1080"
"ServiceDesk","16","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\marketing-showcase\ServoERP-ServiceDesk-showcase.png","1920","1080"
